order_id,method_code,paid_at,status,amount,external_receipt_no
11091,CARD,2026-01-31 20:24:00,PAID,12600.00,1081
11090,CARD,2026-01-31 20:23:00,PAID,12800.00,1080
11089,CARD,2026-01-31 20:15:00,PAID,2500.00,1079
11088,CASH,2026-01-31 20:15:00,PAID,14500.00,1078
11087,CARD,2026-01-31 20:15:00,PAID,46650.00,1077
11086,CARD,2026-01-31 19:57:00,PAID,12600.00,26-1081
11085,CARD,2026-01-31 19:56:00,PAID,21600.00,26-1080
11084,CARD,2026-01-31 19:55:00,PAID,8800.00,26-1079
11083,CARD,2026-01-31 19:54:00,PAID,6000.00,26-1078
11082,CARD,2026-01-31 19:54:00,PAID,32850.00,26-1077
11081,CARD,2026-01-31 19:52:00,PAID,9200.00,26-1076
11080,CARD,2026-01-31 19:48:00,PAID,7500.00,1076
11079,CARD,2026-01-31 19:44:00,PAID,1400.00,1075
11078,CARD,2026-01-31 19:40:00,PAID,42690.00,1074
11077,CARD,2026-01-31 19:26:00,PAID,16600.00,1073
11076,CARD,2026-01-31 19:26:00,PAID,21250.00,1072
11075,CARD,2026-01-31 19:17:00,PAID,43900.00,1071
11074,CARD,2026-01-31 18:16:00,PAID,16750.00,1070
11073,CARD,2026-01-31 18:15:00,PAID,10900.00,1069
11072,CARD,2026-01-31 18:07:00,PAID,20900.00,1068
11071,CARD,2026-01-31 17:59:00,PAID,20150.00,1067
11070,CASH,,VOID,23900.00,1066
11069,CARD,2026-01-30 22:57:00,PAID,500.00,1065
11068,CASH,,VOID,2500.00,1064
11067,CARD,2026-01-30 22:40:00,PAID,-2500.00,26-1075
11066,CARD,2026-01-30 22:27:00,PAID,9500.00,1063
11065,CASH,,VOID,3500.00,1062
11064,CARD,2026-01-30 22:19:00,PAID,18500.00,1061
11063,CARD,2026-01-30 22:15:00,PAID,7300.00,1060
11062,CARD,2026-01-30 22:10:00,PAID,4700.00,1059
11061,CASH,,VOID,10000.00,1058
11060,CARD,2026-01-30 21:41:00,PAID,8800.00,26-1074
11059,CARD,2026-01-30 21:41:00,PAID,6100.00,26-1073
11058,CARD,2026-01-30 21:40:00,PAID,16000.00,26-1072
11057,CARD,2026-01-30 21:39:00,PAID,16800.00,26-1071
11056,CARD,2026-01-30 21:35:00,PAID,22400.00,1057
11055,CASH,2026-01-30 21:26:00,PAID,1800.00,1056
11054,CASH,2026-01-30 21:18:00,PAID,1800.00,1055
11053,CARD,2026-01-30 20:41:00,PAID,3800.00,1054
11052,CARD,2026-01-30 20:19:00,PAID,23790.00,1053
11051,CARD,2026-01-30 19:35:00,PAID,30100.00,1052
11050,CARD,2026-01-30 19:34:00,PAID,1800.00,1051
11049,CASH,2026-01-30 19:13:00,PAID,25000.00,1050
11048,CARD,2026-01-30 17:09:00,PAID,1300.00,1049
11047,CASH,2026-01-30 17:01:00,PAID,3100.00,1048
11046,CASH,2026-01-30 16:55:00,PAID,3800.00,1047
11045,CASH,2026-01-29 21:36:00,PAID,19700.00,1046
11044,CARD,2026-01-29 20:49:00,PAID,1000.00,26-1070
11043,CARD,2026-01-29 20:44:00,PAID,1000.00,3-11429
11042,CARD,2026-01-29 20:44:00,PAID,17500.00,3-11428
11041,CARD,2026-01-29 20:31:00,PAID,-3300.00,3-11427
11040,CARD,2026-01-29 20:22:00,PAID,5800.00,1045
11039,CARD,2026-01-29 20:16:00,PAID,1800.00,1044
11038,CARD,2026-01-29 20:00:00,PAID,20700.00,1043
11037,CARD,2026-01-29 19:42:00,PAID,13800.00,1042
11036,CARD,2026-01-29 19:41:00,PAID,12400.00,1041
11035,CARD,2026-01-29 18:57:00,PAID,24300.00,1040
11034,CASH,2026-01-29 18:45:00,PAID,15950.00,1039
11033,CARD,2026-01-28 23:29:00,PAID,24800.00,26-1069
11032,CARD,2026-01-28 21:11:00,PAID,1600.00,1038
